name,teamSize,budget,workload,importance,completionTime
LinkedIn Learning intranet banner,13,583000,light,4,40
LinkedIn Learning: #3 LIL is right around the corner,18,433000,manageable,6,60
"Rebrand ""Be a Pierce County Voter"" Logo Badges",5,418000,light,3,50
Event Flyer for Meet and Greets,17,111000,heavy,6,5
WA State Department of Enterprise Services (DES) classes for May-June,17,600000,heavy,7,65
Edits to Veterans brochure,3,790000,manageable,1,55
Yard Signs,20,402000,heavy,9,5
1/2 Page flyer (portrait) for school districts,18,961000,light,6,75
Point of Assistant Logo,10,752000,manageable,4,45
Recycling changes at Pierce County offices,21,563000,heavy,3,25
Several items no longer accepted in Pierce County’s recycling program,9,591000,light,8,10
Benefits Guide update,24,560000,manageable,7,75
Add New Pet License Agent to Website,6,572000,heavy,1,20
Update Letterhead,13,970000,light,1,10
Land Use Advisory Commissions to consider proposed updates to four community plans,4,641000,light,4,85
Keys to Caring,13,115000,heavy,8,100
"LinkedIn Learning #2: On-demand, online training available to you soon!",22,756000,heavy,8,20
Retirement of Laurelee Wood,24,64000,light,10,10
Update Employee Newsletter,17,30000,light,9,65
Caregiver Film,6,921000,manageable,2,60
ADRC E-News May 2019,18,581000,light,3,80
LTC Providers Meeting,3,625000,light,1,30
KIRO TV Interview on Chambers Bayy,16,40000,heavy,2,15
Performance Audit Committee Citizen member,16,12000,manageable,3,60
Lakebay Marina for Key Pen,25,296000,light,9,40
Proclamation Photos,14,872000,light,2,5
Troubleshoot Proclamation Request,12,583000,manageable,8,95
PC Boating Safety,7,413000,heavy,2,5
Fair Share Op-Ed,17,77000,light,7,20
Safe Streets open house,21,753000,light,7,45
Edit Council District Maps,15,44000,manageable,9,55
Interview Request,24,201000,light,3,70
Post invite to web,7,889000,manageable,2,70
Strategic Alliance Header,13,939000,light,2,25
Kapowasin Water District,24,53000,light,9,55
Website additions,24,268000,manageable,10,85
One tenth,5,488000,light,7,25
Joint Meeting with City of Tacoma,25,501000,light,7,55
Public Participation Article,6,213000,light,7,10
Post about Chambers Bay resort GLA,6,849000,manageable,1,35
Notice on In-District Meeting,14,475000,heavy,2,45
Chambers Bay Listserve notice,23,59000,light,5,40
Connie Ladenburg Photos,3,59000,manageable,8,80
P-25 Blog Post,20,502000,light,4,65
Chambers Bay Resort-Tacoma Weekly Article,2,27000,light,1,25
Chambers Bay Door Hanger/flier,3,938000,heavy,2,65
Chambers Bay Meeting Graphic,2,231000,heavy,4,60
Chambers Bay Survey,2,52000,manageable,8,85
Council Priorities Brochure,8,828000,light,10,40
Strategic Priorities Graphic,8,939000,manageable,6,100
Councilwebpage analytics and printed pages,10,476000,heavy,9,70
Council Power Point Template,24,768000,heavy,10,35
Pierce County Seal Design,18,496000,light,2,85
Retirement of April Ost,2,619000,light,9,75
Pierce Trips newsletter: Local news and events,19,686000,heavy,1,70
Bring your child to work day #3,23,874000,manageable,2,100
Social Planning,21,302000,manageable,9,85
Social Planning,5,179000,manageable,3,90
Leadership development training in Tacoma available next week!,18,658000,light,5,65
May is Bike Month: Team captains wanted,13,145000,light,8,15
Felony Convictions Voting Information Card,10,804000,light,3,25
Flag lowering to honor Deputy Justin DeRosier,2,976000,light,2,95
Volunteers needed to help demo healthier cooking options,15,932000,light,2,50
placard designs,13,219000,light,4,25
"Updating home repair, weatherization and energy webpages",25,513000,manageable,5,100
Weatherization graphics for social media,8,280000,heavy,5,20
Socrata descriptions,18,522000,heavy,9,45
Veterans moving poster,10,939000,light,3,90
CJFJC Shred event,23,718000,light,1,45
Social Planning,4,455000,heavy,9,40
Social Planning,24,237000,heavy,4,75
Social Planning,14,609000,light,6,35
Social Planning,24,693000,light,3,60
Social Planning,15,976000,manageable,2,25
Social Planning,9,412000,light,8,60
Spanish Language Day Video for Social,24,823000,light,3,5
Chambers New Greens PCTV Video on Social,16,487000,light,9,70
New Greens/Re-opening Announcement for Chambers Bay,21,37000,manageable,4,30
PRIA Local Event Invitation,19,980000,light,5,70
Update 2020 Census Countdown Timer,6,986000,heavy,3,65
Edit WSACA Legislative Handout Insert,9,132000,heavy,8,100
Update Branding Guidelines for Auditor's Office,12,595000,heavy,1,65
April 23 Special Election at a Glance,14,405000,light,9,95
Social Planning,5,20000,heavy,9,50
Social Planning,21,792000,manageable,2,55
Social Planning,8,141000,manageable,7,85
Social Planning,12,456000,light,6,50
Social Planning,11,541000,manageable,7,50
Social Planning,14,951000,light,10,60
Bike Swap email,4,304000,light,2,80
Inform employees about vanpool incentives,14,297000,heavy,4,35
Media Advisory: Special Election at a glance,2,681000,heavy,7,40
Spring Egg hunt,25,25000,heavy,3,30
"Update: Bring your child to work, April 25",21,646000,light,4,85
Han Kueck retirement announcement,12,655000,manageable,8,25
Older LGBT Yoga,20,259000,heavy,9,65
Assessible Communities Committee rack card,10,229000,manageable,8,100
Spring 2019 Newsletter,17,758000,light,2,15
Bring your child to work day,2,309000,light,3,5
Bring your child to work day poster,5,692000,light,6,5
"April Blood Drives: Spring brings ""new life""",24,810000,manageable,2,15
AITF Final Presentations,5,314000,heavy,2,90
OMGosh Now What?,22,218000,heavy,2,30
Story alive Blog,19,862000,manageable,6,70
Edits to Employee FAQ,22,432000,light,6,85
What They Had - Caregiving Films,25,750000,light,10,50
PIT 2019 Results News Release,3,882000,heavy,9,5
April Poster,25,937000,heavy,3,70
PIT 2019 Infographic,25,549000,heavy,2,95
Oh My Gosh - now what? Event,21,562000,heavy,4,60
ADRC E-news,7,925000,light,5,25
ALTC Networking Meeting,18,299000,heavy,6,15
Employee recognition event slogan contest,21,666000,light,5,95
Pinwheels to raise awareness for Child Abuse Prevention Month,23,287000,manageable,2,25
Cheney Stadium opening day blitz,7,496000,light,9,50
LinkedIn Learning is live (plus video),23,13000,light,2,95
LinkedIn Learning employee video,23,288000,heavy,8,90
LinkedIn Learning: #1 Coming soon: LinkedIn Learning online training at your convenience,18,113000,manageable,1,45
LinkedIn Learning poster for directors,20,333000,light,1,20
Retirement of Liz Jackson,14,395000,heavy,2,20
Summer job opportunity with Parks and Recreation Department,9,745000,manageable,7,5
Matching grants help preserve Pierce County landmarks,19,240000,manageable,2,65
Facilities staff meeting closure,7,357000,heavy,10,50
Incorporation information to The Patch,12,146000,heavy,8,25
The Future of Our Children Blog Post,14,211000,light,5,35
Boundary Review Board Meeting,25,82000,light,10,65
Section of 22nd Avenue East to close March 21-25 while road is rebuilt,21,919000,light,10,65
Strategic Alliance Communications Plan,21,685000,manageable,3,10
Chambers Bay Take Away,24,451000,manageable,9,75
What County Government Does,3,881000,heavy,1,35
Post Opioid Summit,24,898000,heavy,4,55
E- Newsletter,5,568000,light,2,80
Dave Morell Videos,12,182000,manageable,10,25
Update 2020 Census Webpages/Rosters,21,914000,light,7,75
Annual county roadside herbicide applications start March 25,21,433000,light,2,50
Love to Ride wrap-up,13,66000,manageable,9,20
Civic Handout Update,15,634000,manageable,8,25
Generate Live Stream FB Keys for PCTV for SOTC,6,484000,light,1,70
Live Tweet at State of the County,12,843000,light,1,40
Design State of the County Live Tweet Graphics,23,511000,light,6,70
State of the County on FB,10,671000,light,9,85
Social Planning,10,140000,light,10,70
Kennel Brochure,17,128000,heavy,8,50
"Print, Cut, Fold 25 Leg Brochures",13,593000,manageable,5,60
Redesign Election Inserts,23,963000,manageable,7,5
Redesign Election Envelopes,3,80000,manageable,1,55
Add New 2020 Census Jobs to Website,8,640000,light,3,30
2020 Census Countdown Widget for Website,9,860000,light,2,40
DART graduation post,8,286000,manageable,4,55
ICC Flyer,13,501000,heavy,3,70
Vicki Eastburn retirement,14,749000,light,10,95
Marcia Lucero retirement,19,135000,light,6,50
EXEC PROC: Pete Ansara farewell,24,355000,light,8,65
Pre School Teacher Appreciation Day Post,21,936000,manageable,7,55
Poster,11,232000,manageable,5,35
Human Services director opening,19,313000,manageable,5,100
Minor Home Repairs Rack Card,6,905000,manageable,10,95
Farewell Blog,17,519000,heavy,3,45
Veterans bags,15,690000,light,8,55
CAP webpages and homepage,12,853000,light,2,100
Create Artwork for new Large Dropboxes,14,614000,light,2,35
ECEAP inquiry form,25,330000,manageable,1,20
Join Human Services in saying farewell to Pete Ansara,24,460000,manageable,10,35
Pete Farewell Invite,24,578000,light,2,90
BTB Presentation Poster,22,217000,heavy,6,100
FJC Shred Event Flyer,18,675000,manageable,5,90
AITF Invitation (formal),21,284000,heavy,6,20
Social Work month surprise,22,122000,heavy,8,65
ADRC E-News 3/19,12,446000,light,8,45
LTC Providers meeting communication,20,216000,manageable,1,5
Pet License Roster Web Edits,15,608000,heavy,4,90
White River High School Election Video,25,426000,heavy,9,15
Add Documents to 2020 Core Committee Page,8,549000,light,6,55
March Poster - ECEAP,10,465000,heavy,8,30
Online Form Accessibility,13,345000,light,4,90
August: Osage County,10,436000,heavy,7,20
Seasonal job opportunity with Parks and Recreation,7,336000,manageable,9,10
Retirement of Audrey Kimball,19,136000,manageable,5,5
March Poster,21,885000,heavy,5,70
Send Corrected Census Event Email,16,940000,light,4,100
Send Census Event Reschedule Email,15,636000,heavy,1,60
Opioid Summit Assistance,20,995000,heavy,4,55
Send Census Event Reminder Email 2,9,206000,manageable,7,5
Send Census Reminder Email 1,21,951000,heavy,5,60
Fix Links on new piercecountypets.org Portal,10,232000,light,4,15
Update Contact on Website,14,821000,heavy,7,15
Media Resource Page for Elections,24,770000,heavy,8,75
2018 At a Glance,13,160000,light,8,85
Aging into the Future,8,548000,light,5,30
Add New Pet Agent to Website and Remove Late Fees,3,411000,light,6,15
Website Banner Images for eRecording and Restrictive Covenants,16,583000,light,6,5
Website and Forms Update,24,462000,light,3,90
AITF Program,2,45000,manageable,9,70
Blog - Feb 19,18,839000,heavy,3,45
E-Newsletter on PC Property Taxes,18,60000,manageable,10,25
2019 Communications Planning,5,54000,heavy,5,10
2019 Communications Plan,14,294000,manageable,10,50
2019 Communications Strategy,3,900000,heavy,3,30
Welcome Basket,23,116000,light,10,75
Chambers Bay Resort,19,600000,heavy,7,75
Strategic Alliance,18,428000,light,1,30
Incorporation Interview,22,224000,manageable,9,25
County Recreational Assets or TBD,12,977000,light,2,70
Aging into the Future,12,989000,heavy,10,95
Redesign Economic Development website,8,38000,light,10,100
Boards and Commissions Blog,8,113000,manageable,8,80
Bridal showcase,7,104000,light,7,85
Schedule Census Provided Posts/Images on Social,25,205000,manageable,3,100
Create Social Graphic for Council Meetings,6,394000,manageable,3,35
Log your trips for Love to Ride,14,455000,manageable,5,100
Congratulations to Sue Wahlberg,25,658000,heavy,5,20
Create Instructions for Pulling Inquiries for Subagent Registry,17,770000,manageable,7,35
EM Social Post for Valentine's Day,3,163000,light,10,10
Film and Edit Video for Election Extra-Hires,5,864000,heavy,4,5
Review The Role of the Auditor Document,6,281000,manageable,10,5
Promote Local 2020 Census Jobs,3,200000,manageable,10,55
Valentine's for Voters,2,38000,heavy,8,90
ECEAP post card,9,268000,heavy,6,15
ECEAP Rack Card,20,136000,manageable,4,100
Transportation Website,3,723000,heavy,3,65
BTB logo,9,678000,heavy,6,40
Armored car service canceled for Feb. 11,11,340000,manageable,2,90
Rapid Rehousing flyer,23,302000,light,7,100
CE trifold brochure,9,476000,manageable,10,80
"Diversity, Equity & Inclusion webpages",25,156000,heavy,9,75
TV Screen Slide - Holiday Closures 2019,25,796000,heavy,9,85
Updated: Extra Hire opportunity in Planning and Public Works - Sewer Division,12,684000,manageable,8,20
Pet Agent Roster Web Edits,24,711000,manageable,5,25
Comment Cards,19,689000,manageable,1,25
2018 Year End Summary,24,316000,manageable,7,40
Take 1 box,14,18000,heavy,1,65
PCHS Brochure,3,195000,heavy,4,90
ALERT Messaging for Social,24,470000,light,5,35
Measles Outbreak Messaging,9,292000,light,6,75
Sage Table Flyer,8,514000,manageable,5,25
Signs,3,524000,light,6,25
Pet Agent Roster Contract Update,15,12000,light,8,30
Pet Agent Roster Website Change,18,336000,heavy,1,60
Extra Hire opportunity in Planning and Public Works - Sewer Division,16,922000,light,2,85
Board and Commissions recruiting flyer,2,821000,manageable,8,5
Update Cover Photos and Profile Pictures,7,15000,light,2,70
Inclement weather policy reminder,10,850000,manageable,3,45
Census Event - eFlyer Invite Design and Send,15,224000,light,6,10
Census Website Updates,2,460000,heavy,8,35
Executive Org chart,2,478000,manageable,1,55
"Discount tickets to professional bull riders, March 30-31",6,142000,light,9,75
Changes to Information Technology policies,22,312000,heavy,7,10
Resource Fair flyers,8,953000,heavy,1,40
STW Events,25,508000,manageable,7,25
STW Flyers,3,77000,heavy,10,55
PowerPoint presentation for Future Summit at TCC,23,959000,heavy,3,15
Public invited to Feb. 6 open house on 92nd Avenue East and 224th Street East intersection project,9,258000,manageable,1,20
Add Graphic to Census Webpage,15,249000,light,6,25
Strategic Plan,8,249000,manageable,8,75
Create Auditor's Office Signature Block,20,254000,manageable,7,90
Decommissioned vehicles and heavy equipment to be auctioned,12,454000,manageable,4,75
Secondhand/Pawn Application,25,238000,light,5,45
Council webpage re-design,22,988000,light,7,80
Behind the Scenes Ferry,20,465000,manageable,9,85
BRT e-newsletter,20,354000,heavy,10,80
Postcard for handing out on Arena,9,833000,heavy,7,25
Arena on-line survey,16,928000,light,7,95
Communications On-Call contract,4,341000,heavy,10,90
Volunteer Appreciation,6,627000,manageable,5,65
Personnel Board election results,8,718000,manageable,4,65
Superior Court invites you to swearing-in ceremony,4,840000,light,2,75
Legislative Handout,16,749000,manageable,9,45
Culvert Restoration Folio,10,862000,manageable,4,10
Voice over for ferries,19,857000,heavy,6,80
Chambers Bay Resort Op-Ed,18,902000,heavy,10,45
Weekly Clips,22,10000,heavy,5,80
Opioid Summit Media Outreach,21,351000,light,6,5
Opioid Website redesign,11,702000,heavy,4,90
Opioid Summit quote,19,592000,heavy,5,65
Western State Hospital Task Force,12,31000,light,10,5
Performance Audit Report,16,261000,light,9,75
e-newsletter,8,62000,heavy,9,10
Winter 2019 PCHS Employee newsletter,20,384000,light,6,95
Fall 2018 PCHS Employee Newsletter,2,547000,heavy,7,75
Veteran's Day special publication (internal),7,471000,manageable,8,100
Summer 2018 PCHS Employee Newsletter,2,645000,light,10,65
ADRC E-News,3,162000,heavy,7,5
PCDCRC Brochure,25,701000,light,7,25
Email to all employees,13,102000,light,3,10
DRS Information to Employees,11,868000,heavy,8,55
First Aid/CPR training in Workday,10,670000,light,4,90
Congratulations to Medical Examiner's Office,6,629000,heavy,6,25
2018 W-2 document available,14,557000,heavy,9,30
ECEAP registration form,8,601000,heavy,7,55
O'ban questions report,2,701000,light,2,65
2018 CNA Presentation,13,140000,heavy,9,15
February poster,7,572000,heavy,4,40
New Employee orientation,22,209000,manageable,2,35
First Aid/CPR training classes,24,786000,manageable,6,90
Social Post - Foley Retirement,2,178000,heavy,9,10
Volunteers needed to help demo healthier cooking options,7,600000,light,6,10
Pet Agent Removal from Website,6,221000,light,9,5
Upload 2019 Voting in WA Translated Videos to YouTube,16,995000,heavy,7,30
Volunteer Recognition winner certificates,18,737000,light,9,15
Volunteer Recognition letters to nominators,10,691000,heavy,10,40
Volunteer Recognition letters to winners,12,456000,light,8,70
Retirement of Arnold Nufer,15,966000,manageable,10,60
Resolve to give blood in January,9,983000,manageable,6,85
Supercross Fan Fest,4,451000,light,2,75
Monster Jam discount tickets,5,207000,light,2,75
Sesame Street employee discount,2,742000,heavy,5,95
Roster Application Edit,12,598000,manageable,7,95
New Web Banner,7,332000,manageable,5,45
Create Facebook Page for District COourt,23,772000,manageable,9,85
2018 Council Communications Infographic,4,81000,manageable,10,20
Review Marketing Articles,12,301000,manageable,3,85
Volcano Cutout Brochure,8,608000,manageable,8,65
Inside Pierce County Video Logo,25,751000,heavy,4,95
Volunteer Appreciation Campaign,4,163000,manageable,1,20
Opioid Task Force Webpage Edits,2,169000,light,5,45
Animal Control Banner,20,18000,manageable,8,25
Transition piercecountypets.org to Civic Page,9,376000,light,10,95
Covenant Search Instructions Brochure,17,704000,manageable,2,50
Redesign Election Webpages,23,112000,manageable,3,5
Restrictive Covenants Brochure,5,743000,manageable,4,100
eRecording 1/2 Sheet Flyer,12,851000,light,5,85
Ed-Talk Presentation Powerpoint/Prezi,3,129000,heavy,6,25
Pet Agent Roster Web,16,383000,heavy,1,5
Election at a Glance - Feb. 2019 Special Election,23,461000,manageable,10,65
Recording Fee Website Edits,14,257000,light,5,5
Extra Hire Recruitment Postcard,3,518000,manageable,4,25
Pet License Application Form,11,197000,light,9,25
Reminder: Opt in to access W-2 in Workday,25,724000,light,5,95
Invitation to Municipal Court judge swearing-in ceremony,12,853000,heavy,10,15
Swearing in invite for Judge Lizanne Padula & Judge Karl Williams,20,140000,manageable,1,5
Bus Rapid Transit feasibility open houses,7,682000,heavy,9,55
Great Wolf Lodge employee discount,23,555000,heavy,1,55
Recreation specialist job opportunity with Parks and Recreation Department,13,237000,manageable,3,20
Nationwide Roth information sessions in January,7,684000,heavy,7,90
Go Smart Milestone Rewards program change,11,738000,heavy,6,5
Adopt-A-Family makes a difference for local families,24,171000,manageable,10,15
Bert Kalalau joins Finance,18,651000,manageable,5,95
Mary Robnett swearing in invitation,15,119000,manageable,2,45
Facebook Post,14,596000,light,6,5
Retirement of Diane Marcus Jones,25,794000,light,4,85
Auditor seeks to appoint committee members for voters’ pamphlet,17,970000,heavy,1,45
Retirement of Richard Burke,6,645000,heavy,1,95
Retirement of Bob Witzl,2,957000,light,6,5
Wheel Options wrap-up email,10,60000,manageable,7,25
"Flag lowering, Dec. 19",4,360000,manageable,10,85
Flag lowering in honor of National Pearl Harbor Remembrance Day,25,807000,manageable,10,80
Retirement of Kent Baskett,11,493000,light,7,50
Retirement of Janice Brevik,23,563000,heavy,1,35
Retirement of Paul Elliott,2,340000,heavy,8,25
Retirement of Stan Grochowski,8,618000,manageable,5,35
Volunteer Recognition Awards #2,3,66000,light,2,40
Flag lowering in honor of former President George HW Bush,6,116000,heavy,1,90
Obtain your W-2 through Workday self service,2,668000,light,2,90
Media Advisory: Auditor schedules mandatory recount,11,233000,light,2,40
Army vs. Navy compete to collect food for those in need,21,628000,light,3,25
Facilities Management offices closed Dec. 3,24,922000,light,6,25
New fire alarm response at the County-City Building,14,209000,light,2,45
Finding Great Talent Forum,25,87000,manageable,4,35
Tree lighting invitation,2,124000,light,6,50
Book your spot now for Santa’s Mystery Brunch set for Dec. 8,25,784000,heavy,1,25
Retirement of Tom Eddy,15,448000,manageable,7,90
District Court Resource Center hosts second employer outreach event,17,1000000,manageable,5,90
District Court employees volunteer at EFN,11,417000,light,7,95
Retirement of Debbie Mershon,5,738000,manageable,8,95
Benefit Reminders email banner,21,547000,light,5,50
Call for Volunteer Recognition nominations,22,110000,heavy,1,10
Flag lowering to honor victims of Thousand Oaks tragedy,3,696000,heavy,2,15
HubBub email header update,3,669000,heavy,7,90
Deborah L’Amoureux retirement,17,912000,manageable,6,10
Heritage Recreation Center's soccer and baseball field get an all-season turf upgrade,9,408000,heavy,7,25
Volunteers needed for Homeless Point In Time Count,23,454000,light,2,20
"Not too late to sign up to 'Adopt-A-Family' for the holidays, Nov. 8 reminder",9,411000,light,5,45
General Election: Don't send ballots through routing,6,602000,light,4,20
Reduce flooding by keeping storm drains clear of leaves,19,414000,light,3,90
Retirement of Judge Maggie Ross,23,296000,heavy,1,80
UW Men's Basketball discount,11,770000,manageable,5,30
Inclement weather reminders,11,444000,light,4,75
IAM Local #297 Dec. 17 meeting update,11,526000,heavy,5,100
Superior Court invites public to the Pierce County Courthouse mural reveal party,16,960000,manageable,4,100
Notice of Canvassing Board meeting,22,420000,heavy,1,15
"CCB freight elevator out of service, Oct. 24",2,141000,heavy,9,40
Bentley Road East reopens where it meets 72nd Street East,18,414000,manageable,6,100
Expect construction work near the CCB,18,331000,light,9,50
Monster Jam Triple Threat Series disount,20,52000,manageable,3,35
Community invited to visit online open house about future Canyon Road East improvements,4,240000,heavy,7,25
Adopt-A-Family,7,985000,manageable,6,5
General Election at a glance,12,528000,light,10,15
Wheel Options Email,3,620000,heavy,4,25
PIerce County Parks and Recreation logo,21,108000,manageable,2,30
2019 County calendars now available,4,924000,heavy,8,100
Tickets on sale for the Employee Recognition Reception,21,848000,light,9,90
Receive an award in 2018?,6,868000,manageable,6,15
"Discount tickets to Cirque Du Soleil: VOLTA, Sept. 7-Nov. 4",11,772000,light,9,15
Cirque du Soleil Volta winners drawn,4,583000,heavy,6,15
"Enter raffle to win two tickets to Cirque du Soleil, Oct. 4",2,898000,light,2,40
Parks and Recreation wants your raincoats,7,198000,heavy,7,30
Wheel Options: Love Your Commute and Win!,7,799000,heavy,1,20
Let's get cooking!,9,536000,light,7,5
Retirement of Jerry Ford,4,867000,manageable,10,65
Changing the face of championship golf in the Pacific Northwest,13,932000,manageable,7,70
Retirement of Terry Grenz,21,578000,light,1,20
EI&R webpages,22,94000,heavy,4,15
2018 Honoree poster,18,523000,heavy,10,10
Will Planning and Public Works claim the prize-winning basket again?,16,54000,heavy,1,15
Retirement of Toni Fairbanks,16,12000,light,2,50
"Your office deserves a holiday, too!",20,132000,manageable,3,60
Wastewater treatment plant expansion wins National Project of the Year Award,15,102000,heavy,8,80
Online ordering now available for General Services supplies,12,937000,light,2,10
Volunteers needed for photo shoot at two parks in Pierce County,2,191000,manageable,7,55
Flag lowering in honor of Senator John McCain,25,187000,light,4,10
Employee Recognition event set for Wednesday. Oct. 24,5,489000,heavy,1,70
Retirement of Paul Marsh,8,238000,heavy,2,15
Extra-hire job opportunities in Parks and Recreation,16,124000,manageable,5,35
Retirement of Kathy Wainhouse,14,18000,light,8,85
Washington Task Force 1 deployed to Hawaii for disaster response,4,48000,heavy,9,10
Ride Pierce Transit to Washington State Fair,25,809000,heavy,3,5
Get crazy at Kidz Kraze Festival on Aug. 26,12,24000,light,9,30
Passing of Missy Loney,17,209000,heavy,4,70
Upgraded security equipment in the CCB and Remann Hall,8,587000,heavy,5,55
EXEC PROC: Lowell Porter retirement,4,639000,heavy,1,70
Retirement of Carol Olesen,11,580000,manageable,1,50
Pierce County Medical Examiner seeks family or friends for 50 unclaimed decedents,24,122000,light,10,30
Auditor seeks to appoint committee members for voters’ pamphlet,6,815000,heavy,4,85
Election at a glance,25,738000,light,7,15
Flag Lowering  in honor of Officer Diego Moreno,12,45000,heavy,7,75
Pierce County awarded $3.2 million grant for crisis stabilization center,9,676000,manageable,8,25
Retirement of Cindy Anderson,11,395000,manageable,3,45
2019 Budget cover,21,995000,heavy,2,60
UW Husky Football discount,16,836000,light,4,45
Human Resources mind map graphic,18,357000,heavy,5,90
Power Paddle to Puyallup halfway there,7,778000,heavy,2,85
Retirement of Barb Cook,14,794000,light,3,55
Work at 152nd Street East and 22nd Avenue East intersection starts Aug. 1,7,597000,heavy,5,80
BBQ In the Parking Lot raffle winners,22,526000,light,3,10
This Friday is the annual BBQ In the Parking Lot,3,497000,heavy,5,50
Job opportunity with Planning and Public Works,12,394000,heavy,4,75
CJFJC 11th annual BBQ ticket sales announcement,20,632000,heavy,6,35
Bike Month Results Email,10,931000,manageable,1,30
"Open house, public hearing on Traffic Impact Fee Program recommendations set for July 11",25,382000,light,3,60
Venardos Circus discount,8,767000,manageable,1,5
"Your office deserves a holiday, too!",8,214000,light,3,65
State grant pays for pollution spill equipment and training,13,756000,heavy,9,100
Retirement of Dennis Mitchell,7,907000,manageable,5,85
Work to rebuild 72nd Street East slope starts July 9,23,842000,heavy,1,25
Passing of Ken King,14,642000,heavy,10,20
Retirement of Phil Prettyman,4,196000,heavy,9,40
Work to replace Pierce County Ferry’s secondary slip at Steilacoom Dock starts July 15,25,547000,manageable,6,70
Vanshare for Free,12,915000,manageable,8,60
Recreation specialist job opportunity with Parks and Recreation,7,604000,manageable,7,95
Extra Hire Opportunity in Planning & Public Works,17,726000,manageable,2,45
Ferry runs added for Independence Day and summertime travelers,20,655000,heavy,4,15
Retirement of Roy Nansel,3,770000,heavy,9,80
Retirement of Allen Tom,6,885000,heavy,10,80
Section of Stone Drive Northwest reopens,5,565000,heavy,4,60
Retirement of Kit Proctor,4,116000,light,7,100
Pierce County offers free 1-ton totes of SoundGRO® fertilizer,7,248000,heavy,5,65
CJFJC 11th annual save the date flyer,17,601000,light,3,80
Human Services spotlights World Elder Abuse Awareness Day,12,930000,manageable,3,100
Discount tickets to Disney On Ice: Dare To Dream,11,913000,light,10,30
Retirement of Glenna Younkin,22,522000,heavy,5,50
Extra-Hire job opportunity with PCTV,6,380000,manageable,7,85
Ride Transit email,22,733000,heavy,1,40
Rick Talbert Video Series,8,990000,heavy,2,100
Rick Talbert Video Series,21,716000,manageable,1,90
The Business Nextdoor,7,825000,manageable,8,35
Social Media and Web page for Chief of Staff,22,448000,light,7,90
Chief of Staff Job Description,24,290000,manageable,3,5
Commendation: Tim Baldassin,15,259000,manageable,9,80
Extra-Hire Job Opportunity with Parks and Recreation,16,771000,light,6,15
Ride Transit Email,21,664000,heavy,2,80
Beware of fraudulent Department of Retirement Systems email,23,639000,manageable,9,85
Traffic revision coming to Prairie Ridge Drive East June 11,18,869000,manageable,8,55
EXEC PROC: Connie Perry's retirement,21,694000,heavy,8,10
Flag lowering in honor of Memorial Day,23,399000,light,6,55
Nollmeyer Lane paving today,8,256000,heavy,9,70
"Give your office a holiday, too!",8,262000,heavy,6,10
Pierce County leaders announce proposals for family-wage job credits,18,221000,heavy,3,45
Learn how Medicaid program provides crucial health services,14,917000,light,5,10
Section of Stone Drive Northwest to be closed for 30 days starting May 29,17,543000,light,8,50
"Flag lowering in honor of victims of the tragedy in Santa Fe, Texas",9,156000,light,7,90
Please consider donating at upcoming blood drives,23,547000,light,1,25
Archer named new Pierce County Human Resources director,9,454000,light,5,20
Continued roof work scheduled to May 18,7,640000,light,7,75
Veterans job fair announcement,7,345000,manageable,2,95
Roof work scheduled for May 16,11,518000,light,2,45
Commendation: Rick Russell,5,458000,light,2,5
Commendation: John Bair,19,655000,light,8,100
Commendation: Gary Grindley,7,112000,manageable,9,35
Commendation: Bob Riley,18,471000,manageable,7,50
Commendation: Ben Craig,7,501000,manageable,6,75
Commendation: Art Anderson,7,777000,light,1,10
Additional ferry service offered Memorial Day weekend,3,191000,light,6,60
Executive statement on Western State Hospital,11,504000,light,2,95
Auditor seeks to appoint committee members for voters’ pamphlet,17,792000,manageable,5,30
Puget Sound Starts Here Month,10,769000,manageable,2,5
Candidate filing week begins May 14,22,836000,heavy,4,50
Extra-hire job opportunities with Parks and Recreation,21,398000,heavy,3,15
Coordinating medical and mental health care to improve outcomes,25,864000,light,4,80
Apply for a landmarks preservation grant by June 8,17,94000,manageable,10,95
News release template in Word,21,196000,manageable,10,100
Public invited to sign dedication at historic McMillin Bridge on May 15,14,422000,heavy,2,10
Bike Month: Foothills Ride with Executive Dammeier,20,496000,manageable,7,60
Learn how the new tax cuts and Jobs Act impact your business at free seminar,4,206000,light,1,60
"Emerald Downs Day, June 2",9,887000,heavy,9,65
New email and website addresses for Pierce County starting May 19,13,83000,manageable,7,30
2018 Watersheds Small Grants Program announced,24,337000,heavy,7,70
Bike Month,12,36000,manageable,5,20
"CCB fire alarm testing, April 26",9,492000,heavy,3,10
County-City Building elevator shutdown July 28,4,440000,heavy,4,45
Maintenance job opportunities with Parks and Recreation,7,639000,manageable,1,85
Workshops help wade through disaster insurance,7,32000,heavy,2,65
Workshop lays out Social Security Disability basics,8,541000,manageable,8,25
Road project on section of Canyon Road East starts April 25,12,159000,light,4,60
Community invited to weigh in on Flood Hazard Management Plan update,23,784000,manageable,6,5
Flag lowering in honor of Barbara Bush,4,99000,heavy,4,75
Summer job opportunity with Parks,11,658000,manageable,4,70
Bike Swap email,25,30000,heavy,2,65
Chuck Ramey's retirement,22,809000,heavy,8,75
IT Training relocating,3,319000,manageable,3,45
CCB automatic door repair update,4,837000,heavy,4,80
Peak season fares for Pierce County Ferry start May 1,16,386000,light,7,85
